name,age,sex,major,gpa,hobbies,country,id,province,level
Rachel Watson,24,Female,Physics,3.59,"['photography', 'yoga']",USA,id_1654,California,Freshman
Matthew Grant,20,Male,Business Administration,2.21,"['birdwatching', 'dodgeball']",USA,id_1655,Minnesota,Senior
Bobby Martin,23,Male,Environmental Science,3.89,"['bird training', 'stone carving']",Canada,id_1656,British Columbia,Freshman
Michael Adkins,20,Male,Chemical Engineering,2.13,"['cycling', 'zumba']",Canada,id_1657,British Columbia,Junior
Roberto Pierce,21,Male,Dentistry,3.0,"['metal detecting', 'windsurfing']",Canada,id_1658,British Columbia,Junior
Dominic Day,24,Male,Classics,3.04,"['rock climbing', 'upcycling']",USA,id_1659,North Carolina,Senior
Bradley Rodriguez,21,Male,Neuroscience,2.7800000000000002,"['martial arts', 'glassblowing']",Canada,id_1660,Ontario,Junior
Elizabeth Austin,18,Female,Nursing,3.04,"['roller skating', 'swimming']",USA,id_1661,California,Freshman
James Smith,18,Male,Civil Engineering,3.85,"['parkour', 'playing musical instruments']",Canada,id_1662,Saskatchewan,Junior
Nicole Crawford,19,Female,Geology,4.15,"['astrology', 'podcasting']",USA,id_1663,North Dakota,Senior
Patricia Reyes,24,Female,Art Therapy,3.42,"['puppetry', 'singing']",USA,id_1664,California,Freshman
Veronica Compton,23,Female,Biology,2.88,"['makeup artistry', 'model building']",Canada,id_1665,Manitoba,Junior
Stephen Campbell,21,Male,Geology,2.8,"['traveling', 'cycling']",Canada,id_1666,Ontario,Freshman
Stephanie Reid,24,Female,Social Work,2.37,"['cosplay', 'baking']",USA,id_1667,Montana,Senior
Christina Martinez,19,Female,Veterinary Science,3.43,"['board games', 'table tennis']",USA,id_1668,South Carolina,Junior
James Pearson,19,Male,Computer Engineering,3.12,"['sailing', 'animation']",Canada,id_1669,Nova Scotia,Junior
Marissa Shields,21,Female,Accounting,2.32,"['zumba', 'board games']",Canada,id_1670,Quebec,Junior
Jessica Riggs,19,Female,Chemical Engineering,2.02,"['writing', 'LARPing']",Canada,id_1671,British Columbia,Freshman
John Padilla,23,Male,Drama,2.77,"['woodworking', 'foraging']",USA,id_1672,California,Junior
Theresa Russo,24,Female,Communication,3.29,"['traveling', 'singing']",USA,id_1673,Michigan,Junior
Robert Lucas,22,Male,Graphic Communication,4.13,"['fencing', 'wine tasting']",USA,id_1674,Texas,Junior
David Griffin,19,Male,Microbiology,3.08,"['table tennis', 'numismatics']",Canada,id_1675,Ontario,Sophomore
Sarah Anderson,24,Female,Nuclear Engineering,4.24,"['gaming', 'snowboarding']",USA,id_1676,Washington,Junior
Haley Smith,20,Female,Journalism,2.26,"['birdwatching', 'volunteering']",USA,id_1677,Nevada,Senior
Donna Wilkins,20,Female,Dentistry,3.49,"['writing', 'model building']",USA,id_1678,Arizona,Senior
Rebecca Shea,24,Female,Biochemistry,2.3,"['pottery', 'cosplay']",Canada,id_1679,Ontario,Freshman
Julie Sutton,21,Female,Neuroscience,3.43,"['glassblowing', 'tarot reading']",Canada,id_1680,Ontario,Senior
Karina Cooke,24,Female,Anthropology,2.7199999999999998,"['scrapbooking', 'vlogging']",Canada,id_1681,Ontario,Junior
Julie Hill,20,Female,Environmental Science,4.25,"['programming', 'geocaching']",Canada,id_1682,Alberta,Junior
Rick Henry,23,Male,Biology,2.04,"['ice skating', 'rock climbing']",Canada,id_1683,Ontario,Senior
Aaron Lee,23,Male,Computer Engineering,3.65,"['gaming', 'cooking']",USA,id_1684,Michigan,Sophomore
Nicholas Cruz,23,Male,Public Health,4.18,"['astronomy', 'archery']",Canada,id_1685,Nova Scotia,Junior
Samantha Jones MD,21,Female,Civil Engineering,2.2800000000000002,"['quilting', 'homebrewing']",USA,id_1686,Florida,Junior
Jennifer Wood,19,Female,Forensic Science,2.45,"['dancing', 'knitting']",Canada,id_1687,Ontario,Freshman
Jamie Williams,18,Female,Sociology,2.7800000000000002,"['fitness training', 'birdwatching']",USA,id_1688,Louisiana,Sophomore
Donald Arnold,18,Male,Microbiology,3.8,"['cooking', 'beekeeping']",USA,id_1689,Texas,Senior
Caroline Smith,21,Female,Communication,2.59,"['sailing', 'animal rescue']",USA,id_1690,Florida,Senior
Thomas Morrison,18,Male,Communication,3.5300000000000002,"['meditation', 'mountain biking']",Canada,id_1691,Ontario,Senior
Cody Byrd,21,Male,Film Studies,2.4,"['birdwatching', 'volunteering']",Canada,id_1692,Quebec,Sophomore
Julie Henderson,21,Female,Communication,2.69,"['cooking', 'ice skating']",USA,id_1693,California,Junior
Derek Ellis Jr.,20,Male,Philosophy,4.06,"['hiking', 'dancing']",USA,id_1694,Georgia,Senior
Stephanie Richards,23,Female,Sociology,3.64,"['baking', 'cycling']",Canada,id_1695,Saskatchewan,Sophomore
Cristina Wilcox,19,Female,Computer Science,2.66,"['drawing', 'puppetry']",Canada,id_1696,Alberta,Senior
Richard Reed,24,Male,Communication,2.61,"['programming', 'pottery']",USA,id_1697,North Carolina,Junior
Karen Cooper,18,Female,Graphic Communication,2.15,"['skiing', 'swimming']",Canada,id_1698,British Columbia,Junior
James Brady,23,Male,Meteorology,2.05,"['roller skating', 'fishing']",USA,id_1699,Alabama,Junior
Amanda Mason,22,Female,Classics,3.03,"['soap making', 'foraging']",Canada,id_1700,Alberta,Sophomore
Douglas Davis,21,Male,English Literature,3.54,"['cycling', 'biking']",USA,id_1701,Florida,Sophomore
Walter Ellis,23,Male,Computer Science,2.0,"['puzzle solving', 'graphic design']",Canada,id_1702,Ontario,Freshman
Ryan Harrison,24,Male,Anthropology,2.96,"['ice skating', 'card games']",USA,id_1703,California,Sophomore
Jason Smith,18,Male,Music,3.17,"['biking', 'skiing']",Canada,id_1704,Ontario,Senior
Keith Rangel,18,Male,Hospitality Management,3.98,"['playing musical instruments', 'calligraphy']",Canada,id_1705,Nova Scotia,Senior
Michael Robinson,20,Male,Art History,2.71,"['callisthenics', 'philately']",Canada,id_1706,British Columbia,Senior
Felicia Andrews,21,Female,Early Childhood Education,2.37,"['reading', 'numismatics']",USA,id_1707,Florida,Freshman
David Thompson,23,Male,Marketing,3.08,"['handball', 'painting']",Canada,id_1708,Ontario,Freshman
Andrew Bishop,20,Male,Theater,3.46,"['web development', 'music']",Canada,id_1709,Ontario,Junior
Danielle Russell,18,Female,Nursing,3.36,"['knitting', 'skydiving']",USA,id_1710,Illinois,Junior
Michelle West,19,Female,Geography,4.22,"['callisthenics', 'roller skating']",USA,id_1711,Texas,Senior
Jade Sherman,22,Female,Criminology,2.26,"['handball', 'dodgeball']",USA,id_1712,Michigan,Senior
Stephanie Smith,20,Female,Economics,2.15,"['water polo', 'mountain biking']",USA,id_1713,Illinois,Freshman
Taylor Collins,23,Male,Classics,3.08,"['music', 'water polo']",USA,id_1714,Florida,Freshman
James Lane,23,Male,Chemical Engineering,3.29,"['water polo', 'playing musical instruments']",Canada,id_1715,British Columbia,Sophomore
James Stewart,20,Male,Interior Design,3.55,"['rock climbing', 'writing']",USA,id_1716,Pennsylvania,Sophomore
Marcus Pugh,22,Male,International Relations,4.1,"['calligraphy', 'dodgeball']",USA,id_1717,Michigan,Sophomore
Todd Martinez,23,Male,Management,4.14,"['soap making', 'birdwatching']",USA,id_1718,Oklahoma,Junior
Brooke Harris,18,Female,Microbiology,2.32,"['disc golf', 'jogging']",Canada,id_1719,Quebec,Junior
Christopher Moreno,18,Male,Botany,4.01,"['puppetry', 'beekeeping']",USA,id_1720,California,Junior
Anthony Hernandez,20,Male,Geology,2.32,"['archery', 'knitting']",Canada,id_1721,Ontario,Freshman
Diana Peterson,21,Female,Psychology,2.34,"['windsurfing', 'DIY projects']",USA,id_1722,Indiana,Sophomore
Julia Parsons,24,Female,Theater,3.7800000000000002,"['homebrewing', 'stone carving']",USA,id_1723,Florida,Freshman
Cameron Ellis,19,Male,Early Childhood Education,2.67,"['table tennis', 'beekeeping']",Canada,id_1724,Ontario,Junior
Amanda Taylor,18,Female,Archaeology,3.68,"['fencing', 'skateboarding']",Canada,id_1725,Ontario,Senior
Dana Price,18,Female,Mechanical Engineering,4.18,"['foraging', 'wine tasting']",USA,id_1726,New York,Senior
Jessica Day,24,Female,Hospitality Management,2.52,"['kayaking', 'podcasting']",Canada,id_1727,Ontario,Senior
Austin Norton,22,Male,Aerospace Engineering,3.8200000000000003,"['soap making', 'roller skating']",USA,id_1728,California,Sophomore
Michael Pruitt,18,Male,Kinesiology,2.75,"['leatherworking', 'singing']",Canada,id_1729,Quebec,Sophomore
Terri Casey,18,Female,Biology,2.75,"['photography', 'fishing']",Canada,id_1730,Quebec,Junior
Julia Hamilton,21,Female,Classics,3.12,"['soap making', 'rock climbing']",Canada,id_1731,Alberta,Junior
Mikayla Harris,22,Female,Geography,3.62,"['painting', 'dancing']",USA,id_1732,Missouri,Sophomore
Katherine Hutchinson,23,Female,Film Studies,2.87,"['leatherworking', 'upcycling']",Canada,id_1733,Nova Scotia,Sophomore
Mark Soto,22,Male,Political Science,2.87,"['web development', 'fencing']",USA,id_1734,Minnesota,Sophomore
Michael Smith,24,Male,Business Administration,3.35,"['rock climbing', 'sports']",Canada,id_1735,Ontario,Junior
Larry Serrano,22,Male,Fashion Design,2.85,"['jogging', 'surfing']",Canada,id_1736,Quebec,Senior
James Garrison,21,Male,Hospitality Management,3.77,"['digital art', 'vlogging']",Canada,id_1737,Quebec,Senior
Cody Williams,18,Male,Marketing,2.59,"['photography', 'numismatics']",USA,id_1738,New Jersey,Junior
Susan Diaz,20,Female,Sociology,3.03,"['scuba diving', 'homebrewing']",USA,id_1739,Kentucky,Freshman
Daniel Johnson,22,Male,Journalism,3.94,"['astrology', 'windsurfing']",Canada,id_1740,British Columbia,Sophomore
Sandra Simon,21,Female,Marine Biology,2.88,"['stand-up comedy', 'astrology']",USA,id_1741,Kansas,Senior
Paula Gutierrez,23,Female,Physics,3.29,"['meditation', 'skydiving']",Canada,id_1742,Quebec,Sophomore
Mrs. Valerie Davis,22,Female,Veterinary Science,3.29,"['biking', 'windsurfing']",USA,id_1743,Washington,Freshman
Jessica Vang,22,Female,Biomedical Engineering,3.5300000000000002,"['windsurfing', 'jewelry making']",Canada,id_1744,Ontario,Junior
Ms. Holly Gutierrez,18,Female,Culinary Arts,3.9,"['fishing', 'fencing']",USA,id_1745,California,Sophomore
Anthony Velasquez,24,Male,Hospitality Management,2.7,"['wine tasting', 'kayaking']",Canada,id_1746,British Columbia,Junior
Desiree Patel,19,Female,Biomedical Engineering,3.22,"['traveling', 'animal rescue']",Canada,id_1747,Newfoundland and Labrador,Junior
Michael Wilson,23,Male,Civil Engineering,2.51,"['music', 'drawing']",Canada,id_1748,Quebec,Senior
Kayla Torres,19,Female,Psychology,2.8200000000000003,"['stargazing', 'disc golf']",Canada,id_1749,Quebec,Sophomore
Brent Delgado,23,Male,Geography,3.56,"['gaming', 'philanthropy']",USA,id_1750,Arkansas,Senior
Joe Collins,24,Male,Interior Design,2.98,"['soap making', 'stone carving']",Canada,id_1751,Ontario,Freshman
Jeffery Cervantes,23,Male,Public Health,2.81,"['wine tasting', 'kickboxing']",Canada,id_1752,Ontario,Freshman
Eugene Jenkins,19,Male,Nursing,2.48,"['biking', 'photography']",Canada,id_1753,Prince Edward Island,Sophomore
Jamie Mccarthy,22,Male,Civil Engineering,3.36,"['skiing', 'photography']",Canada,id_1754,Saskatchewan,Senior
Wendy Price,19,Female,Business Administration,3.61,"['dancing', 'windsurfing']",USA,id_1755,California,Senior
Mckenzie Moody,20,Female,Classics,3.83,"['stargazing', 'pottery']",Canada,id_1756,Manitoba,Sophomore
Andrew Johnson,19,Male,Architecture,3.58,"['zumba', 'rock climbing']",Canada,id_1757,Ontario,Senior
Kenneth Morrow,20,Male,Business Administration,3.77,"['yoga', 'horseback riding']",USA,id_1758,Massachusetts,Sophomore
Kelly Smith,24,Female,Fashion Design,3.09,"['LARPing', 'kickboxing']",Canada,id_1759,Ontario,Junior
Christine Stewart,18,Female,Elementary Education,3.13,"['homebrewing', 'bird training']",Canada,id_1760,Ontario,Sophomore
Donald Castro,20,Male,Electrical Engineering,2.75,"['scuba diving', 'beekeeping']",Canada,id_1761,Ontario,Junior
Stephanie Farmer,22,Female,Economics,3.34,"['woodworking', 'ice skating']",USA,id_1762,Illinois,Senior
Laura Kennedy,24,Female,Microbiology,3.5300000000000002,"['volunteering', 'card games']",Canada,id_1763,Quebec,Senior
Christina Tate,18,Female,Management,3.21,"['sailing', 'flying planes']",Canada,id_1764,Quebec,Freshman
Michael Wiggins,21,Male,Classics,2.6,"['mountain biking', 'bird watching']",Canada,id_1765,Ontario,Sophomore
Nancy Rich,20,Female,Theater,3.22,"['surfing', 'kayaking']",USA,id_1766,Colorado,Sophomore
Melissa Beltran,22,Female,Geology,2.95,"['card games', 'graphic design']",Canada,id_1767,Ontario,Freshman
Candice Decker,18,Female,Art History,2.79,"['magic', 'zumba']",USA,id_1768,Texas,Junior
Emily Hardy,18,Female,Criminology,3.47,"['cooking', 'podcasting']",Canada,id_1769,Ontario,Senior
Julia Taylor,24,Female,Sociology,3.85,"['bird watching', 'whittling']",Canada,id_1770,Quebec,Freshman
Lisa West,18,Female,Public Health,3.87,"['stone carving', 'philanthropy']",Canada,id_1771,Ontario,Freshman
Bruce Graham,18,Male,Communication,3.54,"['urban exploration', 'biking']",Canada,id_1772,Ontario,Sophomore
Dennis Perry,22,Male,Geography,3.06,"['kickboxing', 'magic']",USA,id_1773,Pennsylvania,Senior
Julia Vasquez,23,Female,Political Science,2.5,"['numismatics', 'astrology']",USA,id_1774,California,Sophomore
Christopher Page,18,Male,Mechanical Engineering,3.81,"['skateboarding', 'sports']",Canada,id_1775,Ontario,Sophomore
Anna Hughes,20,Female,Nutrition Science,3.5,"['callisthenics', 'tai chi']",USA,id_1776,Missouri,Sophomore
Emily James,19,Female,Electrical Engineering,2.18,"['fencing', 'philately']",Canada,id_1777,Ontario,Freshman
Larry Harrison,21,Male,Computer Science,3.45,"['scrapbooking', 'astrology']",Canada,id_1778,Saskatchewan,Freshman
Brian Scott,20,Male,Culinary Arts,2.26,"['writing', 'photography']",Canada,id_1779,Ontario,Senior
Jeremiah Mendoza,20,Male,Information Systems,3.9699999999999998,"['skateboarding', 'scrapbooking']",USA,id_1780,Kentucky,Senior
Michael Herrera,24,Male,Economics,2.02,"['kayaking', 'kickboxing']",USA,id_1781,Massachusetts,Junior
Rhonda Miller,24,Female,Computer Engineering,3.43,"['vlogging', 'snorkeling']",Canada,id_1782,Ontario,Freshman
Michael Barker,19,Male,Classics,3.38,"['video editing', 'stone carving']",USA,id_1783,Tennessee,Senior
Roy Larson,19,Male,Forensic Science,2.7,"['video editing', 'ice skating']",USA,id_1784,New York,Junior
Brittany Nichols,18,Female,Communication,3.35,"['pottery', 'foraging']",USA,id_1785,Florida,Junior
Vanessa Nolan,19,Female,Classics,3.2800000000000002,"['gardening', 'stand-up comedy']",USA,id_1786,Florida,Junior
Sherry Moore,18,Female,Information Systems,3.4,"['calligraphy', 'bird watching']",Canada,id_1787,Ontario,Freshman
Juan Jones,22,Male,Journalism,3.94,"['origami', 'baking']",Canada,id_1788,British Columbia,Sophomore
Theresa Griffin,19,Female,Psychology,3.37,"['digital art', 'snowboarding']",Canada,id_1789,New Brunswick,Freshman
Kimberly Cooper,23,Female,Biology,2.7,"['puppetry', 'freerunning']",Canada,id_1790,Quebec,Freshman
Julie Gonzalez,20,Female,History,3.08,"['swimming', 'music']",Canada,id_1791,British Columbia,Sophomore
Robert Solis,20,Male,Mechanical Engineering,2.51,"['leatherworking', 'callisthenics']",Canada,id_1792,British Columbia,Senior
Madison Ward,22,Female,Health Science,2.73,"['archery', 'soap making']",Canada,id_1793,Ontario,Senior
Christopher Lopez,23,Male,Mechanical Engineering,3.8,"['disc golf', 'podcasting']",Canada,id_1794,Quebec,Sophomore
Tonya Silva,19,Female,Social Work,2.15,"['board games', 'birdwatching']",Canada,id_1795,Quebec,Sophomore
Deborah Miller,22,Female,Nutrition Science,2.66,"['kickboxing', 'surfing']",USA,id_1796,Colorado,Freshman
Jesse Fox,24,Male,Film Studies,3.8,"['freerunning', 'vlogging']",USA,id_1797,Florida,Sophomore
Ashley Smith,24,Female,Sociology,3.91,"['zumba', 'tarot reading']",USA,id_1798,California,Junior
Brandon Haynes,18,Male,Marine Biology,2.63,"['fashion design', 'podcasting']",Canada,id_1799,Quebec,Junior
Jennifer Delacruz,21,Female,Graphic Design,3.69,"['puppetry', 'skydiving']",Canada,id_1800,Ontario,Freshman
Stephanie Walsh,22,Female,Political Science,3.1,"['playing musical instruments', 'astronomy']",Canada,id_1801,Ontario,Senior
Troy Ho,20,Male,Nutrition Science,3.35,"['origami', 'roller skating']",Canada,id_1802,Ontario,Junior
Miss Nicole Butler,20,Female,Geography,2.96,"['video editing', 'acting']",USA,id_1803,Wisconsin,Senior
Heidi Vega,22,Female,Health Science,2.65,"['table tennis', 'water polo']",Canada,id_1804,Quebec,Freshman
Jack Nguyen,18,Male,Film Studies,2.73,"['scuba diving', 'singing']",USA,id_1805,New York,Junior
Caitlin Ortiz,19,Female,Veterinary Science,3.02,"['homebrewing', 'dodgeball']",USA,id_1806,California,Senior
Eric Robinson,19,Male,Geography,2.43,"['flying planes', 'astrology']",USA,id_1807,Nevada,Freshman
Thomas Allen,24,Male,Biomedical Engineering,2.45,"['freerunning', 'numismatics']",Canada,id_1808,Quebec,Senior
Alexis Fritz,22,Female,Biology,2.09,"['urban exploration', 'bird training']",Canada,id_1809,Alberta,Junior
James Kaufman,21,Male,Culinary Arts,3.27,"['pottery', 'table tennis']",USA,id_1810,Illinois,Senior
Nicole Rodriguez,18,Female,Economics,2.58,"['astrology', 'skiing']",USA,id_1811,Kansas,Sophomore
Stephanie Keller,19,Female,Chemical Engineering,2.86,"['cooking', 'stargazing']",Canada,id_1812,Ontario,Junior
Luis Tucker,22,Male,English Literature,2.16,"['birdwatching', 'biking']",Canada,id_1813,Quebec,Junior
Mrs. Andrea Arnold,20,Female,Culinary Arts,3.32,"['singing', 'pottery']",USA,id_1814,Kentucky,Senior
Miss Emily Boyd,19,Female,Ecology,2.7,"['sailing', 'table tennis']",USA,id_1815,Montana,Senior
Miss Stephanie Murphy,20,Female,Journalism,3.4,"['parkour', 'fitness training']",USA,id_1816,Georgia,Senior
James Lane,20,Male,Graphic Design,4.28,"['cosplay', 'kickboxing']",USA,id_1817,Georgia,Senior
Gary Cowan,23,Male,Film Studies,3.25,"['dancing', 'bird training']",Canada,id_1818,Ontario,Junior
Kevin Reed,18,Male,Marketing,2.03,"['skiing', 'philately']",Canada,id_1819,Nova Scotia,Senior
Renee Franco,21,Female,Nursing,2.81,"['camping', 'sailing']",USA,id_1820,Illinois,Senior
Margaret Walter,18,Female,Social Work,2.96,"['puppetry', 'kickboxing']",Canada,id_1821,Ontario,Junior
Nicole Barnes,21,Female,Drama,3.4,"['callisthenics', 'sports']",Canada,id_1822,Ontario,Freshman
Victoria Gonzalez,23,Female,Environmental Science,3.16,"['sailing', 'gardening']",Canada,id_1823,Ontario,Junior
Samuel Hayes,22,Male,Linguistics,3.13,"['DIY projects', 'quilting']",Canada,id_1824,Ontario,Senior
Gary Escobar,24,Male,English Literature,3.08,"['skateboarding', 'DIY projects']",USA,id_1825,Florida,Freshman
Nancy Todd,18,Female,Public Health,2.6,"['roller skating', 'kayaking']",Canada,id_1826,Ontario,Junior
Grace Wilson,24,Female,Ecology,3.11,"['philately', 'soap making']",USA,id_1827,Texas,Junior
Denise Fisher,23,Female,Accounting,2.75,"['graphic design', 'sailing']",USA,id_1828,Tennessee,Senior
Matthew Martinez,19,Male,Economics,2.41,"['dancing', 'fishing']",USA,id_1829,Nebraska,Freshman
Diana Johnson,21,Female,Management,2.92,"['biking', 'podcasting']",USA,id_1830,New Jersey,Junior
Lindsey Randall,24,Female,Biochemistry,3.08,"['baking', 'web development']",Canada,id_1831,British Columbia,Freshman
Cindy Hughes,22,Female,Communication,2.9699999999999998,"['bouldering', 'playing musical instruments']",USA,id_1832,New Jersey,Sophomore
David Smith,24,Male,Graphic Design,2.58,"['rock climbing', 'table tennis']",USA,id_1833,Kentucky,Senior
Patricia Cox,23,Female,Nutrition Science,2.19,"['upcycling', 'parkour']",USA,id_1834,Texas,Senior
Anna Greene,20,Female,Ecology,2.03,"['photography', 'digital art']",USA,id_1835,Georgia,Junior
Yvonne Murray,20,Female,Philosophy,2.34,"['freerunning', 'horseback riding']",Canada,id_1836,Quebec,Senior
Kelly Peters,24,Female,Biomedical Engineering,2.8200000000000003,"['bouldering', 'disc golf']",USA,id_1837,Georgia,Sophomore
Richard Moss,19,Male,Management,2.21,"['philanthropy', 'dancing']",USA,id_1838,California,Sophomore
Brenda Rose,18,Female,Marketing,3.41,"['pottery', 'freerunning']",USA,id_1839,Texas,Sophomore
Cheryl Mora,18,Female,Film Studies,3.96,"['woodworking', 'snowboarding']",Canada,id_1840,Ontario,Freshman
Heather Cuevas,19,Female,Neuroscience,3.47,"['sailing', 'weightlifting']",USA,id_1841,Texas,Sophomore
Eric Watkins,23,Male,Civil Engineering,2.96,"['puppetry', 'tai chi']",Canada,id_1842,Alberta,Senior
Patricia Williams,23,Female,Communication,3.27,"['cooking', 'kickboxing']",Canada,id_1843,Ontario,Senior
Lacey Taylor,18,Female,Mathematics,2.87,"['mountain biking', 'acting']",USA,id_1844,Georgia,Senior
Ryan Blankenship,21,Male,Information Systems,2.42,"['painting', 'candle making']",Canada,id_1845,Quebec,Junior
Phillip Garcia,24,Male,Computer Engineering,3.87,"['graphic design', 'stargazing']",USA,id_1846,Texas,Senior
Michael Deleon,21,Male,Management,3.11,"['cooking', 'philately']",Canada,id_1847,Quebec,Junior
Charles Alvarado,23,Male,Mathematics,4.0,"['tarot reading', 'foraging']",Canada,id_1848,Ontario,Sophomore
Thomas Holland,19,Male,Music,2.41,"['drawing', 'stone carving']",Canada,id_1849,Ontario,Sophomore
Timothy Mills,19,Male,Earth Science,3.2800000000000002,"['windsurfing', 'LARPing']",Canada,id_1850,British Columbia,Sophomore
Christina Moore,18,Female,Physics,3.14,"['dancing', 'numismatics']",Canada,id_1851,Ontario,Senior
Sabrina Clark,20,Female,Film Studies,3.5,"['urban exploration', 'skateboarding']",Canada,id_1852,Ontario,Sophomore
Dana Green,20,Female,Sociology,3.31,"['card games', 'spelunking']",Canada,id_1853,Ontario,Sophomore
Philip Ayala,23,Male,Psychology,4.11,"['disc golf', 'woodworking']",Canada,id_1854,Ontario,Junior
Michelle Wilson,22,Female,Mathematics,2.3,"['table tennis', 'metal detecting']",USA,id_1855,Illinois,Senior
Julian Rodriguez,18,Male,Industrial Design,3.11,"['baking', 'astrology']",Canada,id_1856,Ontario,Sophomore
Ryan Mckay,22,Male,Geology,2.88,"['martial arts', 'gardening']",USA,id_1857,Montana,Freshman
Cindy Murphy,20,Female,Music,3.88,"['gardening', 'astrology']",Canada,id_1858,Ontario,Sophomore
Michelle Brown,19,Female,Nutrition Science,3.74,"['volunteering', 'whittling']",Canada,id_1859,Ontario,Senior
Patricia Horn,23,Female,Physics,2.06,"['water polo', 'sports']",USA,id_1860,Texas,Junior
Cynthia Wang,22,Female,Forensic Science,2.6,"['dancing', 'singing']",Canada,id_1861,British Columbia,Junior
Jacqueline Williams,24,Female,Molecular Biology,3.95,"['poetry', 'callisthenics']",Canada,id_1862,New Brunswick,Senior
Brett Santos,24,Male,Music,2.46,"['snorkeling', 'freerunning']",USA,id_1863,California,Senior
Brandi Luna,18,Female,Graphic Design,2.15,"['parkour', 'table tennis']",Canada,id_1864,Ontario,Sophomore
Mr. Nathan Hodges,23,Male,Electrical Engineering,2.71,"['photography', 'woodworking']",USA,id_1865,New York,Sophomore
Jason Jones,22,Male,Forensic Science,3.71,"['web development', 'collecting (e.g., stamps, coins, comic books)']",Canada,id_1866,Nova Scotia,Junior
Lori Rhodes,19,Female,Information Systems,2.71,"['podcasting', 'cooking']",USA,id_1867,Texas,Junior
Jesse Warren,23,Male,Drama,2.86,"['tai chi', 'kickboxing']",Canada,id_1868,Ontario,Senior
Lauren Serrano,20,Female,Neuroscience,2.14,"['horseback riding', 'puppetry']",USA,id_1869,Pennsylvania,Freshman
Carol Tyler,22,Female,Marine Biology,2.44,"['drawing', 'knitting']",Canada,id_1870,Ontario,Junior
Anthony Miller,21,Male,Mathematics,2.67,"['skiing', 'poetry']",Canada,id_1871,Quebec,Freshman
Morgan Patel,24,Female,Biomedical Engineering,2.61,"['cooking', 'music']",USA,id_1872,California,Sophomore
Karl Robinson,19,Male,Elementary Education,2.71,"['stone carving', 'tai chi']",Canada,id_1873,British Columbia,Senior
Alicia Rogers,24,Female,Dentistry,3.07,"['gardening', 'cosplay']",USA,id_1874,Texas,Sophomore
Jeffery Rivera,21,Male,Graphic Communication,2.9,"['mountain biking', 'biking']",Canada,id_1875,Quebec,Freshman
Albert Campbell,24,Male,Drama,3.23,"['cosplay', 'tarot reading']",USA,id_1876,Louisiana,Sophomore
Mr. Matthew Young PhD,22,Male,Philosophy,3.34,"['magic', 'snorkeling']",Canada,id_1877,Ontario,Sophomore
Mr. Matthew Johnson,21,Male,Communication,4.0,"['bouldering', 'puzzle solving']",USA,id_1878,Minnesota,Freshman
William Steele,24,Male,Geology,2.64,"['jogging', 'music']",USA,id_1879,Georgia,Senior
Richard Brown,19,Male,Management,3.17,"['tai chi', 'animation']",USA,id_1880,Michigan,Freshman
Matthew Martinez,18,Male,Political Science,2.42,"['water polo', 'drawing']",USA,id_1881,Texas,Sophomore
Jackie Fisher,23,Female,Film Studies,3.76,"['model building', 'metal detecting']",Canada,id_1882,Saskatchewan,Senior
Jared Harris,24,Male,Mathematics,4.26,"['handball', 'metal detecting']",Canada,id_1883,Ontario,Sophomore
William Jones,20,Male,Art History,2.69,"['cycling', 'baking']",USA,id_1884,Minnesota,Senior
Linda Avila,23,Female,Accounting,2.88,"['magic', 'sailing']",USA,id_1885,Maine,Sophomore
Amanda Davis,23,Female,Earth Science,3.36,"['disc golf', 'podcasting']",Canada,id_1886,Ontario,Sophomore
Angela Rodriguez,19,Female,Computer Science,3.38,"['painting', 'fishing']",USA,id_1887,Virginia,Senior
Erica Munoz,18,Female,Music,2.37,"['bird training', 'snowboarding']",USA,id_1888,Tennessee,Sophomore
Raymond Rodriguez,22,Male,Aerospace Engineering,3.26,"['tarot reading', 'graphic design']",USA,id_1889,New York,Sophomore
Gabriel Webster,18,Male,Molecular Biology,3.22,"['archery', 'upcycling']",Canada,id_1890,British Columbia,Freshman
Christian Warner,23,Male,Marine Biology,4.15,"['fishing', 'programming']",USA,id_1891,Minnesota,Senior
Shannon Frost,22,Female,Linguistics,2.88,"['homebrewing', 'bird training']",USA,id_1892,Florida,Senior
Joseph Bridges,19,Male,Geography,2.58,"['makeup artistry', 'tai chi']",Canada,id_1893,Ontario,Sophomore
Edward Bowen,21,Male,Ecology,2.56,"['acting', 'callisthenics']",USA,id_1894,Illinois,Senior
Gabriel Barrera,24,Male,Computer Science,3.16,"['handball', 'skydiving']",Canada,id_1895,Ontario,Freshman
Robin Harris,18,Female,Hospitality Management,2.6,"['reading', 'makeup artistry']",USA,id_1896,Connecticut,Freshman
Tammy Lucas,23,Female,Music,2.94,"['skateboarding', 'digital art']",USA,id_1897,California,Sophomore
Stacey Ford,21,Female,Interior Design,2.61,"['tarot reading', 'geocaching']",USA,id_1898,Georgia,Senior
Melanie Dudley,18,Female,Nuclear Engineering,2.41,"['glassblowing', 'tarot reading']",USA,id_1899,California,Freshman
Wendy White,18,Female,Art Therapy,3.55,"['knitting', 'ice skating']",Canada,id_1900,Manitoba,Sophomore
Susan Chapman,21,Female,Kinesiology,2.74,"['homebrewing', 'magic']",Canada,id_1901,Ontario,Junior
